Date,Open,High,Low,Close,Adj Close,Volume
2024-04-25,67.860001,70.290001,67.379997,69.309998,69.309998,20545200
2024-04-26,69.974998,70.150002,68.699997,69.050003,69.050003,16187600
2024-04-29,68.500000,68.660004,67.199997,67.400002,67.400002,20102600
2024-04-30,67.224998,68.598999,66.070000,66.269997,66.269997,22707300
2024-05-01,66.040001,69.410004,65.860001,67.790001,67.790001,21266700
2024-05-02,68.400002,69.036003,67.625000,68.570000,68.570000,18229300
2024-05-03,69.845001,70.338997,69.029999,69.230003,69.230003,15557700
2024-05-06,71.000000,73.820000,70.832001,71.510002,71.510002,25001900
2024-05-07,72.639999,72.639999,69.800003,70.430000,70.430000,24427300
2024-05-08,64.500000,67.199997,63.834999,66.400002,66.400002,84220000
2024-05-09,66.809998,68.570000,66.750000,67.930000,67.930000,27965500
2024-05-10,67.820000,67.900002,66.400002,66.989998,66.989998,18924400
2024-05-13,67.000000,67.064003,64.720001,66.019997,66.019997,18983100
2024-05-14,65.849998,66.099998,64.750000,65.320000,65.320000,19462300
2024-05-15,66.000000,66.660004,65.220001,66.620003,66.620003,16308700
2024-05-16,66.970001,67.330002,66.000000,66.050003,66.050003,19923500
2024-05-17,66.500000,66.639999,65.519997,65.669998,65.669998,15703300
2024-05-20,65.639999,65.870003,64.305000,64.650002,64.650002,15864400
2024-05-21,64.129997,64.650002,63.810001,63.970001,63.970001,16592500
2024-05-22,64.820000,66.089996,64.519997,65.480003,65.480003,22562100
2024-05-23,65.559998,65.800003,63.250000,63.599998,63.599998,20115000
2024-05-24,63.779999,64.760002,63.619999,64.260002,64.260002,10380500
2024-05-28,64.610001,64.610001,63.099998,63.520000,63.520000,14213300
2024-05-29,63.009998,65.364998,62.910000,64.930000,64.930000,16987900
2024-05-30,64.790001,65.410004,63.720001,64.120003,64.120003,12692500
2024-05-31,64.199997,64.629997,63.139999,64.559998,64.559998,17322400
2024-06-03,64.779999,64.959999,62.935001,63.790001,63.790001,14922200
2024-06-04,64.059998,65.190002,63.700001,64.550003,64.550003,12689200
2024-06-05,64.940002,66.279999,64.209999,65.820000,65.820000,19513500
2024-06-06,67.449997,69.690002,67.330002,68.900002,68.900002,25871500
2024-06-07,68.900002,69.709999,68.110001,69.309998,69.309998,13932600
2024-06-10,69.279999,69.691002,66.559998,68.599998,68.599998,19168900
2024-06-11,68.599998,69.599998,67.760002,69.589996,69.589996,12741200
